sentiment,text
1,"stellargirl i loooooooovvvvvveee my kindle2. not that the dx is cool, but the 2 is fantastic in its own right."" "
1,reading my kindle2... love it... lee childs is good read. 
1,"ok, first assesment of the kindle2 ...it fucking rocks!!!"" "
1,kenburbary you'll love your kindle2. i've had mine for a few months and never looked back. the new big one is huge! no need for remorse! :) 
1,mikefish fair enough. but i have the kindle2 and i think it's perfect :) 
1,richardebaker no. it is too big. i'm quite happy with the kindle2. 
-1,fuck this economy. i hate aig and their non loan given asses. 
1,jquery is my new best friend. 
1,loves twitter 
1,how can you not love obama? he makes jokes about himself. 
0,check this video out -- president obama at the white house correspondents' dinner URL 
-1,"karoli i firmly believe that obama/pelosi have zero desire to be civil. it's a charade and a slogan, but they want to destroy conservatism"" "
1,"house correspondents dinner was last night whoopi, barbara &amp; sherri went, obama got a standing ovation"" "
1,watchin espn..jus seen this new nike commerical with a puppet lebron..sh*t was hilarious...lmao!!! 
-1,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, vincentx24x"" "
1,"lebron best athlete of our generation, if not all time (basketball related) i don't want to get into inter-sport debates about __1/2"" "
-1,i was talking to this guy last night and he was telling me that he is a die hard spurs fan. he also told me that he hates lebron james. 
1,i love lebron. URL 
-1,"ludajuice lebron is a beast, but i'm still cheering 4 the a..til the end."" "
1,pmillzz lebron is the boss 
1,"sketchbug lebron is a hometown hero to me, lol i love the lakers but let's go cavs, lol"" "
1,lebron and zydrunas are such an awesome duo 
1,wordwhizkid lebron is a beast... nobody in the nba comes even close. 
1,downloading apps for my iphone! so much fun :-) there literally is an app for just about anything. 
1,"good news, just had a call from the visa office, saying everything is fine.....what a relief! i am sick of scams out there! stealing!"" "
1,URL - awesome come back from biz (via fredwilson) 
1,in montreal for a long weekend of r&amp;r. much needed. 
1,booz allen hamilton has a bad ass homegrown social collaboration platform. way cool! ttiv 
1,[mluc09] customer innovation award winner: booz allen hamilton -- URL 
1,"sochi2 i current use the nikon d90 and love it, but not as much as the canon 40d/50d. i chose the d90 for the video feature. my mistake."" "
0,need suggestions for a good ir filter for my canon 40d ... got some? pls dm 
0,surfit: i just checked my google for my business- blip shows up as the second entry! huh. is that a good or ba... ? URL 
1,"phyreman9 google is always a good place to look. should've mentioned i worked on the mustang w/ my dad, kimblet."" "
-1,played with an android google phone. the slide out screen scares me i would break that fucker so fast. still prefer my iphone. 
-1,us planning to resume the military tribunals at guantanamo bay... only this time those on trial will be aig execs and chrysler debt holders 
-1,omg so bored &amp; my tattoooos are so itchy!! help! aha =) 
-1,i'm itchy and miserable! 
-1,"sekseemess no. i'm not itchy for now. maybe later, lol."" "
1,rt jessverr i love the nerdy stanford human biology videos - makes me miss school. URL 
1,"spinuzzi: has been a bit crazy, with steep learning curve, but lyx is really good for long docs. for anything shorter, it would be insane."" "
1,"i'm listening to """"p.y.t"""" by danny gokey &lt;3 &lt;3 &lt;3 aww, he's so amazing. i &lt;3 him so much :)"" "
1,is going to sleep then on a bike ride:] 
-1,cant sleep... my tooth is aching. 
-1,"blah, blah, blah same old same old. no plans today, going back to sleep i guess."" "
-1,"glad i didnt do bay to breakers today, it's 1000 freaking degrees in san francisco wtf"" "
0,is in san francisco at bay to breakers. 
0,just landed at san francisco 
0,san francisco today. any suggestions? 
-1,?obama administration must stop bonuses to aig ponzi schemers ... URL 
