screen_name,date,text
Kejriwal,Sun Feb 05 21:53:00 +0000 2017,some nri supporters of aap to stay in punjab till march 11 for celebrations
Kejriwal,Sun Feb 05 18:48:35 +0000 2017,    this is indeed the most correct analysis. no shames in war games- all in politics.' 
Amarinder,Sun Feb 05 18:47:54 +0000 2017,rt  aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings    
Amarinder,Sun Feb 05 18:45:21 +0000 2017,rt  aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings    
Kejriwal,Sun Feb 05 18:45:11 +0000 2017,    we stand united for a common cause i.e to keep away aap' 
Kejriwal,Sun Feb 05 18:40:00 +0000 2017,support to sad-bjp: dera call fails to elicit overwhelming response        
Badal,Sun Feb 05 18:40:00 +0000 2017,support to sad-bjp: dera call fails to elicit overwhelming response        
Kejriwal,Sun Feb 05 18:15:30 +0000 2017,people r wise don't cast vote fr them don't waste ur time in writing blog on them.
Kejriwal,Sun Feb 05 18:13:36 +0000 2017,   is there no work in canada
Kejriwal,Sun Feb 05 17:15:12 +0000 2017,some nri supporters of aap to stay in punjab till march 11 for celebrations
Kejriwal,Sun Feb 05 16:50:38 +0000 2017,     indians are getting smarter than politicians and the guru brigade! vande mataram!' 
Badal,Sun Feb 05 16:50:38 +0000 2017,     indians are getting smarter than politicians and the guru brigade! vande mataram!' 
Kejriwal,Sun Feb 05 15:55:05 +0000 2017,support to sad-bjp: dera call fails to elicit overwhelming response        
Badal,Sun Feb 05 15:55:05 +0000 2017,support to sad-bjp: dera call fails to elicit overwhelming response        
Kejriwal,Sun Feb 05 12:29:04 +0000 2017,dirty games of dirty politician of dirty politics.
Kejriwal,Sun Feb 05 11:52:50 +0000 2017,mansa district tops the chart in polling with 87.34%     
Amarinder,Sun Feb 05 11:52:50 +0000 2017,mansa district tops the chart in polling with 87.34%     
Badal,Sun Feb 05 11:52:50 +0000 2017,mansa district tops the chart in polling with 87.34%     
Kejriwal,Sun Feb 05 11:18:00 +0000 2017,peoples want change this time      
Amarinder,Sun Feb 05 09:59:26 +0000 2017,punjabpolls people have voted for peace stability against communal radical politics:  in patiala  
Amarinder,Sun Feb 05 09:27:54 +0000 2017,punjabpolls people have voted for peace stability against communal radical politics:  in patiala  
Kejriwal,Sun Feb 05 09:20:24 +0000 2017, who is is sponsoring her and where did the badals get money to build 7star resort?   
Amarinder,Sun Feb 05 08:02:47 +0000 2017,punjabpolls people have voted for peace stability against communal radical politics:  in patiala  
Amarinder,Sun Feb 05 07:40:43 +0000 2017,punjabpolls people have voted for peace stability against communal radical politics:  in patiala  
Kejriwal,Sun Feb 05 07:36:19 +0000 2017,even not a place in hell for ruining pb &amp; youth of pb wid 'chitta'/drugs.
Kejriwal,Sun Feb 05 07:11:25 +0000 2017,    right
Kejriwal,Sun Feb 05 07:10:00 +0000 2017, says spineless election commission has surrendered to pm modi     
Kejriwal,Sun Feb 05 06:56:06 +0000 2017,    u would not won mr kejri' 
Kejriwal,Sun Feb 05 06:50:01 +0000 2017,aap workers manhandled in dhuri; shots fired in guru har sahai    
Amarinder,Sun Feb 05 06:43:59 +0000 2017,aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings    
Kejriwal,Sun Feb 05 06:39:42 +0000 2017,   ha ha ha....but subramanyam swamy claimed 3 yrs ago on tv that avaaz foundation was sponsoring?' 
Amarinder,Sun Feb 05 06:29:53 +0000 2017,punjabpolls people have voted for peace stability against communal radical politics:  in patiala  
Kejriwal,Sun Feb 05 06:15:14 +0000 2017,    it might be possible if u enjoyed same sponsorship of isi for last many yrs.' 
Kejriwal,Sun Feb 05 06:10:40 +0000 2017,really pakistan isi supporting  ?   
Kejriwal,Sun Feb 05 05:59:24 +0000 2017,    that means raw is useless?? or bibi you have insider knowledge from is isi !!!' 
Badal,Sun Feb 05 05:50:00 +0000 2017,akali bouncers arrested in dharamkot  
Amarinder,Sun Feb 05 05:40:09 +0000 2017,vote for change           
Kejriwal,Sun Feb 05 05:33:14 +0000 2017,sirse wala sadh sponsoring you. what's the difference? bibi sit home
Kejriwal,Sun Feb 05 04:16:44 +0000 2017,record 78.6% turnout in punjab           
Badal,Sun Feb 05 04:16:44 +0000 2017,record 78.6% turnout in punjab           
Kejriwal,Sun Feb 05 04:10:00 +0000 2017,aap candidate booked after clash with congress workers at dera baba nanak   
Badal,Sun Feb 05 03:00:00 +0000 2017,complaint against sad candidate sarabjit makkar for distributing cash   
Amarinder,Sun Feb 05 02:48:17 +0000 2017,barnala engulfed by wave of humanity as  raises pitch in congress punjabpolls battle    
Badal,Sun Feb 05 02:45:00 +0000 2017,supporters of akali candidate gabria booked for attacking simarjeet bains in ludhiana \n   
Kejriwal,Sun Feb 05 02:40:01 +0000 2017, says spineless election commission has surrendered to pm modi     
Kejriwal,Sun Feb 05 02:30:00 +0000 2017, congratulates people of punjab for peaceful polls      
Kejriwal,Sun Feb 05 02:16:59 +0000 2017,  i hope he was not as blind as the voters of delhi and kept away perverts from  
Amarinder,Sun Feb 05 02:11:22 +0000 2017,    amrinder is a hype himself. 10 yrs of disappearance and three st.. 
Kejriwal,Sun Feb 05 02:11:22 +0000 2017,    amrinder is a hype himself. 10 yrs of disappearance and three st.. 
Amarinder,Sun Feb 05 02:10:04 +0000 2017,daddu go himalaya __taking lota 
Amarinder,Sun Feb 05 02:06:00 +0000 2017,dismisses aap as social media hype     
Kejriwal,Sun Feb 05 02:06:00 +0000 2017,dismisses aap as social media hype     
