screen_name,date,text
Amarinder,Sun Jan 29 19:26:20 +0000 2017,rt  aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings    
Badal,Sun Jan 29 19:21:16 +0000 2017,mr   shame on u guys.rubbing salts to ppls wound.punjabi o kick them hard on 4 feb.
Amarinder,Sun Jan 29 19:19:52 +0000 2017,haha wont desert lambi? joker left whole of punjab for 10 yrs. how 
Badal,Sun Jan 29 19:19:52 +0000 2017,haha wont desert lambi? joker left whole of punjab for 10 yrs. How
Amarinder,Sun Jan 29 19:17:31 +0000 2017,name us any of your achievements in serving punjab 
Kejriwal,Sun Jan 29 19:17:31 +0000 2017,name us any of your achievements in serving punjab 
Amarinder,Sun Jan 29 19:15:21 +0000 2017,and you are dangerous to humanity of punjab captain 
Kejriwal,Sun Jan 29 19:15:21 +0000 2017,and you are dangerous to humanity of punjab captain 
Badal,Sun Jan 29 19:03:01 +0000 2017,punjab elections 2017: drug-tainted singer performs at pm modi rally in kotkapura      
Kejriwal,Sun Jan 29 19:01:25 +0000 2017,here is captain speaking at one of the khalistani run temples in canada 
Kejriwal,Sun Jan 29 19:00:42 +0000 2017,drug seizures: punjab tops the chart among 5 poll-bound states\n       
Badal,Sun Jan 29 19:00:42 +0000 2017,drug seizures: punjab tops the chart among 5 poll-bound states\n       
Kejriwal,Sun Jan 29 19:00:15 +0000 2017,badals dont have anything to make them win so lets start making false claims.
Amarinder,Sun Jan 29 18:59:48 +0000 2017,rt  barnala engulfed by wave of humanity as  raises pitch in congress punjabpolls battle    
Amarinder,Sun Jan 29 18:44:28 +0000 2017,rt  barnala engulfed by wave of humanity as  raises pitch in congress punjabpolls battle    
Amarinder,Sun Jan 29 18:38:32 +0000 2017,rt  barnala engulfed by wave of humanity as  raises pitch in congress punjabpolls battle    
Kejriwal,Sun Jan 29 18:36:02 +0000 2017,101 candidates in punjab poll fray face criminal cases: adr         
Badal,Sun Jan 29 18:36:02 +0000 2017,101 candidates in punjab poll fray face criminal cases: adr         
Kejriwal,Sun Jan 29 18:33:26 +0000 2017,punjab elections 2017:  stay at ex-militant house in moga sparks row   
Amarinder,Sun Jan 29 18:21:37 +0000 2017,rt  aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings    
Amarinder,Sun Jan 29 18:18:14 +0000 2017,which means he ll definitely desert amritsar' 
Badal,Sun Jan 29 18:18:14 +0000 2017,which means he ll definitely desert amritsar' 
Kejriwal,Sun Jan 29 18:09:24 +0000 2017,    
Amarinder,Sun Jan 29 18:06:07 +0000 2017,rt  barnala engulfed by wave of humanity as capt_amarinder raises pitch in congress punjabpolls battle    
Badal,Sun Jan 29 17:47:56 +0000 2017,rt  phillau rally:  says  seeking votes in punjab for the most corrupt    
Amarinder,Sun Jan 29 17:46:05 +0000 2017,u r not free &amp; fare media. shame on you paid media.
Amarinder,Sun Jan 29 17:45:15 +0000 2017,rt  barnala engulfed by wave of humanity as  raises pitch in congress punjabpolls battle    
Amarinder,Sun Jan 29 17:44:53 +0000 2017,read the truth from a fellow soldier.  
Kejriwal,Sun Jan 29 17:44:39 +0000 2017,ak dish ka kalam have
Amarinder,Sun Jan 29 17:36:07 +0000 2017,things that capt_amarinder learnt as soldier    
Amarinder,Sun Jan 29 17:29:20 +0000 2017,rt  aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings    
Amarinder,Sun Jan 29 17:28:29 +0000 2017,rt  aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings    
Amarinder,Sun Jan 29 17:19:35 +0000 2017,rt  aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings    
Amarinder,Sun Jan 29 17:10:19 +0000 2017,rt huge crowd in malerkotla now to see by how much difference wins
