screen_name,date,text
Amarinder,Sun Jan 29 19:26:20 +0000 2017,b'rt AT_USER aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings AT_USER AT_USER AT_USER 
Badal,Sun Jan 29 19:21:16 +0000 2017,b'mr AT_USER AT_USER shame on u guys.rubbing salts to ppls wound.punjabi o kick them hard on 4 feb.\xe2\x80\xa6 URL 
Amarinder,Sun Jan 29 19:19:52 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER haha wont desert lambi? joker left whole of punjab for 10 yrs. how\xe2\x80\xa6 URL 
Badal,Sun Jan 29 19:19:52 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER haha wont desert lambi? joker left whole of punjab for 10 yrs. how\xe2\x80\xa6 URL 
Amarinder,Sun Jan 29 19:17:31 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER AT_USER name us any of your achievements in serving punj\xe2\x80\xa6 URL 
Kejriwal,Sun Jan 29 19:17:31 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER AT_USER name us any of your achievements in serving punj\xe2\x80\xa6 URL 
Amarinder,Sun Jan 29 19:15:21 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER AT_USER and you are dangerous to humanity of punjab capt\xe2\x80\xa6 URL 
Kejriwal,Sun Jan 29 19:15:21 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER AT_USER and you are dangerous to humanity of punjab capt\xe2\x80\xa6 URL 
Badal,Sun Jan 29 19:03:01 +0000 2017,b'punjab elections 2017: drug-tainted singer performs at pm modi\xe2\x80\x99s rally in kotkapura | AT_USER || AT_USER URL 
Kejriwal,Sun Jan 29 19:01:25 +0000 2017,b'AT_USER AT_USER AT_USER here is captain speaking at one of the khalistani run temples in canada while b\xe2\x80\xa6 URL 
Kejriwal,Sun Jan 29 19:00:42 +0000 2017,b'drug seizures: punjab tops the chart among 5 poll-bound states\n| AT_USER AT_USER AT_USER | AT_USER URL 
Badal,Sun Jan 29 19:00:42 +0000 2017,b'drug seizures: punjab tops the chart among 5 poll-bound states\n| AT_USER AT_USER AT_USER | AT_USER URL 
Kejriwal,Sun Jan 29 19:00:15 +0000 2017,b'AT_USER AT_USER AT_USER badals dont have anything to make them win so lets start making false claims. s\xe2\x80\xa6 URL 
Amarinder,Sun Jan 29 18:59:48 +0000 2017,b'rt AT_USER barnala engulfed by wave of humanity as AT_USER raises pitch in congress punjabpolls battle AT_USER AT_USER AT_USER 
Amarinder,Sun Jan 29 18:44:28 +0000 2017,b'rt AT_USER barnala engulfed by wave of humanity as AT_USER raises pitch in congress punjabpolls battle AT_USER AT_USER AT_USER 
Amarinder,Sun Jan 29 18:38:32 +0000 2017,b'rt AT_USER barnala engulfed by wave of humanity as AT_USER raises pitch in congress punjabpolls battle AT_USER AT_USER AT_USER 
Kejriwal,Sun Jan 29 18:36:02 +0000 2017,b'101 candidates in punjab poll fray face criminal cases: adr | AT_USER AT_USER | AT_USER || AT_USER URL 
